0301,2423
0302,5455
0313,2427
0323,4515
0333,3435
0506,4515
0507,4555
0515,4252
0525,4313
0535,4323
1410,3437
1411,4575
1412,4575
1413,4525
1415,4363
1416,4373
1417,4575
1418,4575
3010,4272
3020,2423
3031,4515
3032,5451
3033,4373
3818,3431
3828,4202
3835,3433
3836,5452
3837,6466
4101,4373
4111,4515
4121,4575
4131,4575
4151,4575
4161,4515
4171,4515
4181,2423
4707,3431
4717,5451
4727,4373
4737,5452
4757,5451
4767,3433
4777,4676
4787,3431
5051,3437
5052,3435
5053,4333
5060,4656
5070,4282
5855,3431
5856,3437
5857,3431
5868,4515
5878,6468
7470,4575
7471,3431
7472,4515
7473,3431
7475,3431
7476,4515
7477,3431
7478,4575
8353,5456
8363,4575
8373,3431
8381,4313
8382,3431
8555,5453
8565,4373
8575,5451
8586,4616
8587,3431
